num,info
1,"Dr. med. Georg Heubner, Dr. med. Dipl.-Ing. Stephan Eichholz<br>Städtisches Krankenhaus Dresden-Neustadt<br>Klinik für Kinder- und Jugendmedizin<br>Schlaflabor<br>Industriestr. 40<br>01129 Dresden<br><br>Telefon: (03 51) 8 56-25 12<br>Fax: (03 51) 8 56-25 00<br>E-Mail: <a href=""mailto:kinderklinik@khdn.de"" class="""">kinderklinik@khdn.de</a><br>Internet: <a href=""http://www.khdn.de"" class="""">www.khdn.de</a><br>"
2,"Dr. med. Frank Schmidt <br>Schlafmedizinisches Zentrum Dresden-Strehlen<br>Gemeinschaftspraxis Dr. F. Schmidt / Dipl.-Med. K. Gronke<br>Lockwitzer Str. 1<br>01219 Dresden<br><br>Telefon: (03 51) 4 76 95 72<br>Fax: (03 51) 4 76 95 74<br>E-Mail: <a href=""mailto:lunge-schlaf@web.de"" class="""">lunge-schlaf@web.de</a><br>"
3,"Prof. Dr. med.  G. Ehninger, Dr. med. Simona Langner<br>Universitätsklinikum Carl Gustav Carus Dresden<br>Interdisziplinäres Schlaflabor<br>der Medizinischen Klinik I und der Neurologischen Klinik<br>Fetscherstr. 74<br>01307 Dresden<br><br>Telefon: (0351) 4583876<br>Fax: (0351) 4585802<br>E-Mail: <a href=""mailto:interdisziplinaeres.schlaflabor@uniklinikum-dresden.de"">interdisziplinaeres.schlaflabor@uniklinikum-dresden.de</a><br>Internet: <a href=""http://www.mk1dd.de"">www.mk1dd.de</a><br>"
4,"Prof. Dr.med.  Reinhard Berner, Dr. med. Dolores Friebel<br>Universitätsklinikum Carl Gustav Carus an der Technischen Universität Dresden<br>Klinik und Poliklinik für Kinder- und Jugendmedizin<br>Schlaflabor<br>Fetscherstr. 74<br>01307 Dresden<br><br>Telefon: (03 51) 4 58-39 49<br>Fax: (03 51) 4 58-4312<br>E-Mail: <a href=""mailto:kik@uniklinikum-dresden.de"">kik@uniklinikum-dresden.de</a><br>Internet: <a href=""http://www.uniklinikum-dresden.de"">www.uniklinikum-dresden.de</a><br>"
5,"Prof. Dr. med. habil Dirk Koschel, OA Jan Holfert<br>Fachkrankenhaus Coswig GmbH<br>Zentrum für Pneumologie, Thorax- und Gefäßchirurgie<br>Innere Abteilung - Schlaflabor<br>Neucoswiger Str. 21<br>01640 Coswig<br><br>Telefon: (0 35 23) 65-202/-225<br>Fax: (0 35 23) 65-2 05<br>E-Mail: <a href=""mailto:Stat_SL@fachkrankenhaus-coswig.de"">Stat_SL@fachkrankenhaus-coswig.de</a><br>Internet: <a href=""http://www.fachkrankenhaus-coswig.de"">www.fachkrankenhaus-coswig.de</a><br>"
6,"Dr. med. Andreas Müller, MUDr.  Ctirad Bastl<br>Sächsische Schweiz Klinik Sebnitz<br>Schlafmedizinisches Zentrum<br>Dr.-Steudner-Str. 75 b<br>01855 Sebnitz<br><br>Telefon: (03 59 71) 6-14 03<br>Fax: (03 59 71) 6-18 08<br>E-Mail: <a href=""mailto:schlaflabor.sebnitz@asklepios.com"">schlaflabor.sebnitz@asklepios.com</a><br>"
7,"Dr. med. Frank Weder <br>Oberlausitz-Kliniken gGmbH<br>Medizinische Klinik II<br>Schlafmedizinisches Labor<br>Am Stadtwall 3<br>02625 Bautzen<br><br>Telefon: (0 35 91) 3 63-27 10<br>Fax: (0 35 91) 3 63-27 19<br>E-Mail: <a href=""mailto:Schlaflabor@oberlausitz-kliniken.de"">Schlaflabor@oberlausitz-kliniken.de</a><br>Internet: <a href=""http://www.oberlausitz-klinken.de"">www.oberlausitz-klinken.de</a><br>"
8,"Dr. med. Jörg Lubrich <br>Malteser Krankenhaus St. Carolus<br>Abteilung für Innere Medizin<br>Schlaflabor<br>Carolusstr. 212<br>02827 Görlitz<br><br>Telefon: (0 35 81) 72 2055<br>Fax: (0 35 81) 72 10 03<br>E-Mail: <a href=""mailto:Joerg.Lubrich@malteser.org"">Joerg.Lubrich@malteser.org</a><br>Internet: <a href=""http://www.malteser-krankenhaus-stcarolus.de"">www.malteser-krankenhaus-stcarolus.de</a><br>"
9,"CA Dr. med. Konrad Wetzer <br>Lausitzer Seenland Klinikum GmbH<br>Klinik für Lungen- und Bronchialerkrankungen<br>Schlaflabor<br>Maria-Grollmuß-Str. 10<br>02977 Hoyerswerda<br><br>Telefon: (03571) 443399<br>Fax: (03571) 443438<br>E-Mail: <a href=""mailto:konrad.wetzer@seenlandklinikum.de"">konrad.wetzer@seenlandklinikum.de</a><br>Internet: <a href=""http://www.seenlandklinikum.de"">www.seenlandklinikum.de</a><br>"
10,"Dr. med. Frank Käßner <br>Schlafmedizinisches Zentrum Cottbus/Lausitz<br>Thiemstr. 124<br>03050 Cottbus<br><br>Telefon: (03 55) 54 39 22<br>Fax: (03 55) 54 39 23<br>E-Mail: <a href=""mailto:lunge-schlaf@t-online.de"">lunge-schlaf@t-online.de</a><br>Internet: <a href=""http://www.lunge-schlaf.de"">www.lunge-schlaf.de</a><br>"
11,"Prof. Dr. med.  Hubert Wirtz, Dr. med. Andrea Bosse-Henck<br>Universitätsklinikum Leipzig AöR<br>Zentrum für Innere Medizin<br>Department für Innere Medizin - Abt. Pneumologie - Schlaflabor<br>Liebigstr. 20<br>04103 Leipzig<br><br>Telefon: (03 41) 97 12 - 822<br>Fax: (03 41) 97 12 - 829<br>E-Mail: <a href=""mailto:andrea.bosse-henck@medizin.uni-leipzig.de"">andrea.bosse-henck@medizin.uni-leipzig.de</a><br>"
12,"PD Dr. med. Thomas Köhnlein, Dr. med. Geert Vogt<br>Klinikum St. Georg gGmbH<br>Robert-Koch-Klinik<br>Schlafmedizinisches Zentrum<br>Nikolai-Rumjanzew Str. 100<br>04207 Leipzig<br><br>Telefon: (03 41) 42 31-5 45, -201 (Köhnlein)<br>Fax: (03 41) 42 31-542<br>E-Mail: <a href=""mailto:geert.vogt@sanktgeorg.de"">geert.vogt@sanktgeorg.de</a><br>Internet: <a href=""http://www.rkk-leipzig.de"">www.rkk-leipzig.de</a><br>"
13,"Dr. med. Andreas Klamann, Dr. med. Uwe Müller<br>Sana Kliniken Leipziger Land<br>Klinik für Innere Medizin<br>Schlaflabor<br>Rudolf-Virchow-Str. 2<br>04552 Borna<br><br>Telefon: (0 34 33) 21-17 24<br>Fax: (0 34 33) 21-17 02<br>E-Mail: <a href=""mailto:uwe.mueller@kliniken-leipziger-land.de"">uwe.mueller@kliniken-leipziger-land.de</a><br>Internet: <a href=""http://www.kliniken-leipziger-land.de"">www.kliniken-leipziger-land.de</a><br>"
14,"PD Dr. J. Berrouschot, Dr. Henrik Pradel<br>Klinikum Altenburger Land GmbH<br>Klinik für Neurologie, Klinibereich Schmölln<br>Schlaflabor<br>Robert-Koch-Str.95<br>04626 Schmölln<br><br>Telefon: (03447) 52-1369; -1380<br>Fax: (03447) 52-1397<br>E-Mail: <a href=""mailto:neurologie@klinikum-altenburgerland.de"">neurologie@klinikum-altenburgerland.de</a><br>Internet: <a href=""http://www.klinikum-altenburgerland.de"">www.klinikum-altenburgerland.de</a><br>"
15,"Dr. med. R. Schwarz, Thomas Michel<br>HELIOS Krankenhaus Leisnig<br>Abteilung Innere Medizin<br>Schlaflabor<br>Colditzer Str. 48<br>04703 Leisnig<br><br>Telefon: (03 43 21) 8-2 31<br>Fax: (03 43 21) 8-2 44<br>E-Mail: <a href=""mailto:thomas.michel@helios-kliniken.de"">thomas.michel@helios-kliniken.de</a><br>Internet: <a href=""http://www.helios-kliniken.de"">www.helios-kliniken.de</a><br>"
16,"Prof. Dr. med. Dan Rujescu, PD Dr. med. Frank Pillmann<br>Martin-Luther-Universität Halle-Wittenberg<br>Klinik und Poliklinik für Psychiatrie, Psychotherapie und Psychosomatik<br>Schlaflabor<br>Julius-Kühn-Str. 7<br>06097 Halle/Saale<br><br>Telefon: (03 45) 5 57-4560<br>Fax: (03 45) 5 57-3697<br>E-Mail: <a href=""mailto:psychiatrie@medizin.uni-halle.de"">psychiatrie@medizin.uni-halle.de</a><br>Internet: <a href=""http://www.medizin.uni-halle.de/kpsy/index.htm"">www.medizin.uni-halle.de/kpsy/index.htm</a><br>"
17,"Prof. Dr. med. Wolfgang Schütte, Dr. med. Steffen Schädlich<br>Krankenhaus Martha-Maria Halle-Dölau gGmbH<br>Klinik für innere Medizin 2<br>Schlaflabor<br>Röntgenstr. 1<br>06120 Halle/Saale<br><br>Telefon: (03 45) 5 59-14 50<br>Fax: (03 45) 5 59 - 14 52<br>E-Mail: <a href=""mailto:Steffen.Schaedlich@Martha-Maria.de"">Steffen.Schaedlich@Martha-Maria.de</a><br>Internet: <a href=""http://www.martha-maria.de/krankenhaus-halle.php"">www.martha-maria.de/krankenhaus-halle.php</a><br>"
18,"Dr. med. Sven Rostig <br>SRH Wald-Klinikum Gera<br>Schlafmedizinisches Labor<br>Straße des Friedens 122<br>07548 Gera<br><br>Telefon: (0365) 828 2974, (0365) 828-2566<br>Fax: (0365) 828 2976<br>E-Mail: <a href=""mailto:sven.rostig@wkg.srh.de"">sven.rostig@wkg.srh.de</a><br>Internet: <a href=""http://www.waldklinikumgera.de"">www.waldklinikumgera.de</a><br>"
